"Código (SKU)";"Descrição";"Estoque físico"
;"g20x0350";"0,00"
;"PISCA RETROV";"0,00"
;"RETROV EXT";"0,00"
;"RETROV EXT  CR";"0,00"
"20A1404";"ACABAMENTO RETROV 25/27/31C.";"0,00"
"20UE65CL";"LAMINA LENTE SUB RETROV. FORD CARGO MAIOR 65CCL";"0,00"
"20W4390";"LAMINA LENTE MENOR COSTELLATION ZOIO";"0,00"
"347002";"RETROV EXT SPRINTER 95/12 LD FIXO BRACO CUTO";"0,00"
"347003";"RETROV EXT SPRINTER 95/12 LE FIXO BRACO CURTO";"0,00"
"347037";"RETROV EXT RANGER 10/12 LE CE PRETO";"0,00"
"347064";"RETROV EXT PEUGEOT 307 02/06 LD CE";"0,00"
"347065";"RETROV EXT PEUGEOT 307 02/06 LE CE";"0,00"
"347068";"RETROV EXT SANDERO/LOGAN 07/10 LD CR";"0,00"
"347069";"RETROV EXT SANDERO/LOGAN 07/10 LE CR";"0,00"
"347077";"RETROV EXT FRONTIER 08/14 LE CE CROMADO";"0,00"
"347086";"RETROV EXT HILUX 05/11 LD CE SW4 CROMADO";"0,00"
"347087";"RETROV EXT HILUX 05/11 LE CE SW4 CROMADO";"0,00"
"347092";"RETROV EXT MARCH 11/16 LD CE PRETO";"0,00"
"347093";"RETROV EXT MARCH 11/16 LE CE PRETO";"0,00"
"347095";"RETROV EXT TIIDA  08/11 LD CE PRETO";"0,00"
"347096";"RETROV EXT TIIDA  08/11 LE CE PRETO";"0,00"
"347097";"RETROV EXT HILUX 12/15 LE CE C/PISCA CROMO";"0,00"
"347100";"CAPA RETROV EXT HILUX 13/15 LD C/FURO CROMADA";"1,00"
"347101";"RETROV EXT PUNTO 07/12 LD CE CABEÇA GRANDE";"0,00"
"347128";"RETROV EXT BERLINGO 96/07 LE CR";"0,00"
"347129";"RETROV EXT SONIC 12> LD CE PRETO LISO";"0,00"
"347130";"RETROV EXT SONIC 12> LE CE PRETO LISO";"0,00"
"347141";"RETROV EXT HB20 12/17 LE CE C/ PISCA";"0,00"
"347142";"RETROV EXT HB20 12/17 LE CE C/ PISCA";"0,00"
"34832";"RETROV EXT DUCATO 03> LD FIXO";"0,00"
"34865";"RETROV EXT RANGER 98/04 LE FIXO";"0,00"
"34922";"RETROV EXT MEGANE 06>  LE CE";"0,00"
"35651";"RETROV EXT FOCUS 09> CE LE C/PÍSCA";"0,00"
"35652";"RETROV EXT FOCUS 09> CE LD C/PÍSCA";"0,00"
"47077";"RETROV EXT FOCUS 14> LD CE C/PISCA CAPA PRIMER";"0,00"
"47078";"RETROV EXT FOCUS 14> LE CE C/PISCA CAPA PRIMER";"0,00"
"A1015500";"RETROV INT PEUGEOT 207 PRISMATICO";"0,00"
"ANT001";"ANTENA UNIVERSAL MOD SHARK C/LED";"6,00"
"CC20Q4024";"MOTOR VECTRA ELET. C/FOLDWAY LD";"17,00"
"CC20R0324";"MOTOR RETROV NEW CIVIC 09> 3 FIOS LE";"1.970,00"
"CC20R0424";"MOTOR RETROV NEW CIVIC 09> 3 FIOS LD";"1.970,00"
"CC20R0524";"MOTOR RETROV NEW CIVIC 09> 5 FIOS LE";"75,00"
"CC20R0624";"MOTOR RETROV NEW CIVIC 09> 5 FIOS LD";"75,00"
"CC20S4324";"MOTOR RETROV ECOSPORT 03> RANGER 05/07 LD 3 PINOS";"0,00"
"CP202465";"CAPA COBERTURA CAMINHAO LD";"0,00"
"CP202565";"CAPA COBERTURA CAMINHAO LE";"0,00"
"CP20AJ866";"CAPA RETROV PULSE C/FURO LD LISA";"725,00"
"CP20AJ966";"CAPA RETROV PULSE C/FURO LE LISA";"725,00"
"CP20P2465";"CAPA COBERTURA BRACO LD";"0,00"
"CP20P2565";"CAPA COBERTURA BRACO LE";"0,00"
"CP20T6413";"CAPA RETROV AMAROK 10> LD INF TEXT.";"0,00"
"CP20T6513";"CAPA RETROV AMAROK 10> LE INF TEXT.";"0,00"
"CP20U1705";"ACABAMENTO DO TIRANTE COSTELLATION LE";"0,00"
"CP20U1805";"ACABAMENTO DO TIRANTE COSTELLATION LD";"0,00"
"CP20Z3401";"ARO RETROV HB20 20> S/FURO LD";"0,00"
"CP20Z3501";"ARO RETROV HB20 20> S/FURO LE";"0,00"
"CP20Z3601";"ARO RETROV HB20 20> C/FURO LD";"0,00"
"CP20Z3701";"ARO RETROV HB20 20> C/FURO LE";"0,00"
"CP5041601";"SUPORTE DE PLACA CRUZE 12/15 COLOR";"160,00"
"CV2072703";"LAMINA ESPELHO RETROV PLANA SCANIA";"15,00"
"EB761";"PISCA RETROV FLUENSE LE IMP";"0,00"
"EB762";"PISCA RETROV FLUENSE LD IMP";"0,00"
"RC1I41PR";"RETROV INT HB20 20>";"63,00"
"RCAE2CE";"RETROV EXT HB20 22> LD CE C/SIDE";"0,00"
"RCAE3CE";"RETROV EXT HB20 22> LE CE C/SIDE";"0,00"
"RCAE4CE";"RETROV EXT HB20 22> LD CE C/SIDE C/FOLD";"0,00"
"RCAE5CE";"RETROV EXT HB20 22> LE CE C/SIDE C/FOLD";"0,00"
"RCAE6CE";"RETROV EXT HB20 22> LE CE C/SIDE C/FOLD BSD";"0,00"
"RCAE7CE";"RETROV EXT HB20 22> LE CE C/SIDE C/FOLD BSD";"0,00"
"RCAE8CE";"RETROV EXT HB20 22> LD CE S/SIDE";"0,00"
"RCAE9CE";"RETROV EXT HB20 22> LE CE S/SIDE";"0,00"
"RCC20K1695";"PISCA RETROV FRONTIER 19> LD";"0,00"
"RCC20K1795";"PISCA RETROV FRONTIER 19> LD";"0,00"
"RCC20R8195";"PISCA DO RETROV GOLF/ POLO - 07>2011 LE";"0,00"
"RCC20R8295";"PISCA DO RETROV GOLF/ POLO - 07>2011 LD";"0,00"
"RCC20S7495";"PISCA DO RETROV KA 08/ LD";"0,00"
"RCC20S7595";"PISCA DO RETROV KA 08/ LE";"28,00"
"RCC20T2495";"PISCA DO RETROV VECTRA 10> LD";"0,00"
"RCC20T2595";"PISCA DO RETROV VECTRA 10> LE";"0,00"
"RCC20T2695";"PISCA DO RETROV VECTRA 10> LD - COM LAMPADA DE SOLO";"0,00"
"RCC20T2795";"PISCA DO RETROV VECTRA 10> LE - COM LAMPADA DE SOLO";"0,00"
"RCC20T4695";"PISCA DO RETROV GOL G6/ VOYGE/ SAVEIRO/ FOX/ POLO/ GOLF LD";"0,00"
"RCC20T4795";"PISCA DO RETROV GOL G6/ VOYGE/ SAVEIRO/ FOX/ POLO/ GOLF LE";"0,00"
"RCC20T8295";"PISCA DO RETROV IDEA 11>LD";"0,00"
"RCC20T8395";"PISCA DO RETROV IDEA 11>LE";"0,00"
"RCC20T9295";"PISCA DO RETROV GOL G5/ SAVEIRO/ VOYAGE LD";"0,00"
"RCC20T9395";"PISCA DO RETROV GOL G5/ SAVEIRO/ VOYAGE LE";"0,00"
"RCC20U1095";"PISCA DO RETROV RANGER 12 > LD";"0,00"
"RCC20U1195";"PISCA DO RETROV RANGER 12 > LE";"0,00"
"RCC20W2367";"CAPA RETROV S10 12> LE";"0,00"
"RCC20W3995";"PISCA DO RETROV S-10 12> LE";"0,00"
"RCC20W4095";"PISCA DO RETROV S-10 12> LD";"91,00"
"RCC20X0195";"PISCA DO RETROV ETIOS 2014> LE";"0,00"
"RCC20X0295";"PISCA DO RETROV ETIOS 2014> LD";"0,00"
"RCC20X1795";"PISCA DO RETROV UNO VIVACE LE";"87,00"
"RCC20X1895";"PISCA DO RETROV UNO VIVACE LD";"61,00"
"RCC20X2695";"PISCA DO RETROV - FIAT TORO/JEEP COMPASS/ JEEP COMMADER LD";"87,00"
"RCC20X2795";"PISCA DO RETROV - FIAT TORO/JEEP COMPASS/ JEEP COMMADER LE";"135,00"
"RCC20X4395";"PISCA RETROV DOBLO 10> LE";"0,00"
"RCC20X4495";"PISCA RETROV DOBLO 10> LD";"0,00"
"RCC20Y1195";"PISCA DO RETROV GOLF 15> LE";"79,00"
"RCC20Y1295";"PISCA DO RETROV GOLF 15> LD";"17,00"
"RCC20Y1795";"PISCA DO RETROV ARGO 2017> LE";"0,00"
"RCC20Y1895";"PISCA DO RETROV ARGO 2017> LD";"0,00"
"RCC20Y2195";"PISCA DO RETROV YARIS LE";"0,00"
"RCC20Y2295";"PISCA DO RETROV YARIS LD";"0,00"
"RCC20Y5195";"PISCA DO RETROV KICKS 2017> LE";"0,00"
"RCC20Y5295";"PISCA DO RETROV KICKS 17> LD";"0,00"
"RCC20Y7195";"PISCA DO RETROV MOBI 2014>LE";"377,00"
"RCC20Y7295";"PISCA DO RETROV MOBI 2014>LD";"236,00"
"RCC20Y9195";"PISCA DO RETROV CRETA 2017> LE";"0,00"
"RCC20Y9295";"PISCA DO RETROV CRETA 17> LD";"0,00"
"RCC20Z3695";"PISCA RETROV HB 20 2020> LD";"0,00"
"RCC20Z3795";"PISCA RETROV HB 20 2020> LE";"0,00"
"RCC20Z7395";"PISCA RETROV HB20 19> LE";"0,00"
"RCC20Z7495";"PISCA RETROV HB20 19> LD";"0,00"
"RCC5038095";"PISCA RETROV IDEA/PALIO ADVENTURE LD";"0,00"
"RCC5038195";"PISCA RETROV IDEA/PALIO ADVENTURE LE";"0,00"
"RCCE80FX";"RETROV EXT JEPP WRANGLER LD FIXO";"5,00"
"RCP20H1401PRI";"CAPA RETROV GOL 99/08 LD PRIMER";"0,00"
"RCP20M2001L";"CORPO INT. LISO GOL GIII LD";"0,00"
"RCP20M2101L";"CORPO INT. LISO GOL GIII LE";"157,00"
"RCP20N4466PRI";"CAPA RETROV FOX 03> LD PRIMER";"0,00"
"RCP20N4566PRI";"CAPA RETROV FOX 03> LE PRIMER";"0,00"
"RCP20Q3866PRI";"CAPA RETROV VECTRA 06/08 LD PRIMER";"0,00"
